,message_id,media_type,text,subtitle_picture,date_message_sent,is_audio,is_photo,is_sticker,is_document,is_video_note,is_web-page,message_views,telegram_message_url,is_telegram_internal_message,date_message_edited
0,5379,,"Sigam o canal criado para divulgar o programa GUERRA DE INFORMAÇÃO:

https://www.instagram.com/guerradeinformacao",,2022-01-31 11:35:05,,,,,,,11373,https://t.me/AllanDosSantos/5379,,2022-01-31 11:37:52
1,5378,video,,,2022-01-31 09:08:17,,,,,,,16089,https://t.me/AllanDosSantos/5378,,2022-01-31 09:11:39
2,5377,video,,"Ottawa - Canadá 🇨🇦 
(Com temperatura de menos 21 graus) 
O “Comboio da Liberdade” se reuniu e fez frente para exigir que o povo fosse ouvido ou então, que Trudeau renunciasse.",2022-01-31 09:01:27,,,,,,,15283,https://t.me/AllanDosSantos/5377,,2022-01-31 09:04:12
3,5376,web_page,"Chora, capa preta!

https://www.portalcidade.news/allan-dos-santos-esta-de-volta-e-tera-participacao-importante-no-primeiro-congresso-de-direita-em-altamira/",,2022-01-31 04:09:56,,,,,,"{
    ""_"": ""WebPage"",
    ""id"": ""397606481646810527"",
    ""url"": ""https://www.portalcidade.news/allan-dos-santos-esta-de-volta-e-tera-participacao-importante-no-primeiro-congresso-de-direita-em-altamira/"",
    ""display_url"": ""portalcidade.news/allan-dos-santos-esta-de-volta-e-tera-participacao-importante-no-primeiro-congresso-de-direita-em-altamira"",
    ""type"": ""photo"",
    ""site_name"": ""Portal Cidade News"",
    ""title"": ""Allan dos Santos está de volta: E terá participação importante no Primeiro Congresso de Direita em Altamira - Portal Cidade News"",
    ""description"": ""Ao lado de figuras importantes de direita, Allan terá uma participação, através de videoconferência, no “primeiro Congresso de Direita da Transamazônica e Xingu”, o evento ocorrerá durante o dia 12 de março, em Altamira, no Estado do Pará.\n\n\n\nNa propaganda do evento, Allan aparece do lado de parlamentares como o famoso senador Zequinha Marinho do (PL-PA), e também dos deputados Carlos"",
    ""photo"": {
        ""_"": ""Photo"",
        ""file_id"": ""AgACAgQAAxUAAWH4DnxOmmNTcqp9KRGXg2xD119KAALmqzEbTx-MUXGBXvM34MSdAAgBAAMCAAN4AAceBA"",
        ""file_unique_id"": ""AgAD5qsxG08fjFE"",
        ""width"": 727,
        ""height"": 382,
        ""file_size"": 49183,
        ""date"": ""2021-02-20 16:53:59""
    }
}",19488,https://t.me/AllanDosSantos/5376,,2022-01-31 04:10:34
4,5375,document,,"🗞 JORNAL LEITURA EXPRESSA 🇧🇷

ANO II - SEMANAL
NÚMERO 05 - EDIÇÃO ESPECIAL
Data: 30/01 a 05/02/2022

Imprima e distribua na sua região.  

🗞📱VERSÃO PARA IMPRIMIR E ACESSAR NO CELULAR
https://t.me/leituraexpressa/1612

Para imprimir - quatro folhas A4 frente e verso.

🔎 Financie a publicação de fatos! 🔍

Contribua para a manutenção do nosso trabalho.

PIX (TEL): 21-999-555-181

INSTITUTO BRASIL PELA LIBERDADE
BANCO DO BRASIL
AGÊNCIA: 2914-9
CONTA CORRENTE: 32517-1
CNPJ: 41.859.579/0001-20

🖨 Compartilhe, Imprima e distribua 🖨",2022-01-30 22:07:57,,,,"{
    ""_"": ""Document"",
    ""file_id"": ""BQACAgEAAx0CSpxV6QACFP9h-A58k-O-Uf2q1qgpMjA7ulevjgACkgEAAmHEuEd31E0to0F8Sx4E"",
    ""file_unique_id"": ""AgADkgEAAmHEuEc"",
    ""file_name"": ""JORNAL LEITURA EXPRESSA Nº 05 EDIÇÃO ESPECIAL.pdf"",
    ""mime_type"": ""application/pdf"",
    ""file_size"": 3952322,
    ""date"": ""2022-01-30 18:45:04"",
    ""thumbs"": [
        {
            ""_"": ""Thumbnail"",
            ""file_id"": ""AAMCAQADHQJKnFXpAAIU_2H4DnyT475R_arWqCkyMDu6V6-OAAKSAQACYcS4R3fUTS2jQXxLAAgBAAdtAAceBA"",
            ""file_unique_id"": ""AgADkgEAAmHEuEc"",
            ""width"": 226,
            ""height"": 320,
            ""file_size"": 29307
        }
    ]
}",,,19317,https://t.me/AllanDosSantos/5375,,2022-01-30 22:08:52
5,5374,,"Creio que não teria sentimento mais mesquinho do que querer para mim o que pertence a Ti, ó DEUS. O Prof. Olavo é Seu, meu amado Senhor. É impossível não se alegrar com a ida dele para o Seu seio paternal. Só Vos imploro que eu não me perca e termine perto de Vós.",,2022-01-30 19:47:27,,,,,,,19835,https://t.me/AllanDosSantos/5374,,2022-01-30 19:47:50
6,5373,,"Só tenho boas lembranças do meu professor, amigo, irmão na fé e que hoje está ao lado do meu Senhor. As minhas lágrimas estão sempre acompanhadas de um leve sorriso de quem vê um amigo terminando vitorioso uma batalha que ainda me falta muito para terminar.",,2022-01-30 19:44:59,,,,,,,19652,https://t.me/AllanDosSantos/5373,,2022-01-30 19:45:08
7,5372,,"Conversando com o Prof. Olavo sobre o quanto ainda tenho de aprender literatura e que jamais ninguém havia me ensinado essas coisas. Falei de um soneto em inglês que estava tentando aprender a recitar, enquanto eu falava, ele recitou de cor o soneto 18 de Shakespeare que aprendera na infância. O mestre da minha língua materna conhecia muito bem até a língua anglo-saxã. 

Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summer’s lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or nature’s changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou ow’st;
Nor shall death brag thou wander’st in his shade,
When in eternal lines to time thou grow’st:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",,2022-01-30 19:43:02,,,,,,,19668,https://t.me/AllanDosSantos/5372,,2022-01-30 19:43:31
8,5371,,"“Et ecce intus eras et ego foris et ibi te quaerebam, et in ista formosa quae fecisti deformis irruebam…”

1. Tarde Te amei, ó Beleza tão antiga e tão nova… Tarde Te amei! Trinta anos estive longe de Deus. Mas, durante esse tempo, algo se movia dentro do meu coração… Eu era inquieto, alguém que buscava a felicidade, buscava algo que não achava… Mas Tu Te compadeceste de mim e tudo mudou, porque Tu me deixaste conhecer-Te. Entrei no meu íntimo sob a Tua Guia e consegui, porque Tu Te fizeste meu auxílio.

2. Tu estavas dentro de mim e eu fora… “Os homens saem para fazer passeios, a fim de admirar o alto dos montes, o ruído incessante dos mares, o belo e ininterrupto curso dos rios, os majestosos movimentos dos astros. E, no entanto, passam ao largo de si mesmos. Não se arriscam na aventura de um passeio interior”. Durante os anos de minha juventude, pus meu coração em coisas exteriores que só faziam me afastar cada vez mais d’Aquele a Quem meu coração, sem saber, desejava… Eis que estavas dentro e eu fora! Seguravam-me longe de Ti as coisas que não existiriam senão em Ti. Estavas comigo e não eu Contigo…

3. Mas Tu me chamaste, clamaste por mim e Teu grito rompeu a minha surdez… “Fizeste-me entrar em mim mesmo… Para não olhar para dentro de mim, eu tinha me escondido. Mas Tu me arrancaste do meu esconderijo e me puseste diante de mim mesmo, a fim de que eu enxergasse o indigno que era, o quão deformado, manchado e sujo eu estava”. Em meio à luta, recorri a meu grande amigo Alípio e lhe disse: “Os ignorantes nos arrebatam o céu e nós, com toda a nossa ciência, nos debatemos em nossa carne”. Assim me encontrava, chorando desconsolado, enquanto perguntava a mim mesmo quando deixaria de dizer “Amanhã, amanhã”… Foi então que escutei uma voz que vinha da casa vizinha… Uma voz que dizia: “Pega e lê. Pega e lê!”.

4. Brilhaste, resplandeceste sobre mim e afugentaste a minha cegueira. Então corri à Bíblia, abri-a e li o primeiro capítulo sobre o qual caiu o meu olhar. Pertencia à carta de São Paulo aos Romanos e dizia assim: “Não em orgias e bebedeiras, nem na devassidão e libertinagem, nem nas rixas e ciúmes. Mas revesti-vos do Senhor Jesus Cristo” (Rm 13,13s). Aquelas Palavras ressoaram dentro de mim. Pareciam escritas por uma pessoa que me conhecia, que sabia da minha vida.

5. Exalaste Teu Perfume e respirei. Agora suspiro por Ti, anseio por Ti! Deus… de Quem separar-se é morrer, de Quem aproximar-se é ressuscitar, com Quem habitar é viver. Deus… de Quem fugir é cair, a Quem voltar é levantar-se, em Quem apoiar-se é estar seguro. Deus… a Quem esquecer é perecer, a Quem buscar é renascer, a Quem conhecer é possuir. Foi assim que descobri a Deus e me dei conta de que, no fundo, era a Ele, mesmo sem saber, a Quem buscava ardentemente o meu coração.

6. Provei-Te, e, agora, tenho fome e sede de Ti. Tocaste-me, e agora ardo por Tua Paz. “Deus começa a habitar em ti quando tu começas a amá-Lo”. Vi dentro de mim a Luz Imutável, Forte e Brilhante! Quem conhece a Verdade conhece esta Luz. Ó Eterna Verdade! Verdadeira Caridade! Tu és o meu Deus! Por Ti suspiro dia e noite desde que Te conheci. E mostraste-me então Quem eras. E irradiaste sobre mim a Tua Força dando-me o Teu Amor!

7. E agora, Senhor, só amo a Ti! Só sigo a Ti! Só busco a Ti! Só ardo por Ti!…
8. Tarde te amei! Tarde Te amei, ó Beleza tão antiga e tão nova! Tarde demais eu Te amei! Eis que estavas dentro, e eu, fora – e fora Te buscava, e me lançava, disforme e nada belo, perante a beleza de tudo e de todos que criaste. Estavas comigo, e eu não estava Contigo… Seguravam-me longe de Ti as coisas que não existiriam senão em Ti. Chamaste, clamaste por mim e rompeste a minha surdez. Brilhaste, resplandeceste, e a Tua Luz afugentou minha cegueira. Exalaste o Teu Perfume e, respirando-o, suspirei por Ti, Te desejei. Eu Te provei, Te saboreei e, agora, tenho fome e sede de Ti. Tocaste-me e agora ardo em desejos por Tua Paz!

Santo Agostinho, Confissões 10, 27-29",,2022-01-30 19:27:57,,,,,,,19149,https://t.me/AllanDosSantos/5371,,2022-01-30 19:28:21
9,5370,,"“O escrupuloso tende a transformar a admiração em murmuração detratória, pois não suporta ver nos outros alguns defeitos que o seu ideal de perfeição absoluta considera intoleráveis. Que ele também abomine ver em si mesmo tais defeitos é apenas o sintoma moral de que os seus escrúpulos são alimentados pela soberba.

O escrupuloso admira nas pessoas não o que elas realmente são, mas o fantasma de pureza infactível que ele gostaria de ser.

O seu orgulho tem a plumagem enganadora de um augusto modelo de conduta.”

Sidney Silveira",,2022-01-30 16:58:52,,,,,,,19870,https://t.me/AllanDosSantos/5370,,2022-01-30 16:59:12
